Plaats,Woon- plaats- code,Postcode (laagste tot hoogste),Gemeente met link naar gemeentelijke website,Provincie
Gelkenes,,2964–2964,Molenlanden,Zuid-Holland
Gellicum,3214,4155–4155,West Betuwe,Gelderland
Geloo,,5951–5951,Venlo,Limburg
Gelselaar,1654,7275–7275,Berkelland,Gelderland
Gemaal (?),,3646–3646,De Ronde Venen,Utrecht
Gement,,5351–5351,Oss,Noord-Brabant
Gemert,2089,5421–5422,Gemert-Bakel,Noord-Brabant
Gemonde,2059,5291–5294,Sint-Michielsgestel,Noord-Brabant
Genderen,1954,4265–4265,Altena,Noord-Brabant
Gendijk,,6086–6086,Leudal,Limburg
Gendringen,1585,7081–7081,Oude IJsselstreek,Gelderland
Gendt,3132,6691–6691,Lingewaard,Gelderland
Geneijgen,,6096–6096,Leudal,Limburg
Genemuiden,2198,8281–8281,Zwartewaterland,Overijssel
Geneneind,,5761–5761,Gemert-Bakel,Noord-Brabant
Gening,,5851–5851,Bergen,Limburg
Genne,,8061–8061,Zwartewaterland,Overijssel
Genne-Overwaters,,8061–8061,Zwartewaterland,Overijssel
Gennep,2482,6591–6591,Gennep,Limburg
Genoenhuis,,5661–5661,Geldrop-Mierlo,Noord-Brabant
Genooi,,5914–5914,Venlo,Limburg
Gerheggen,,6086–6086,Leudal,Limburg
Gerkesklooster / Gerkeskleaster,3177,9872–9873,Achtkarspelen,Fryslân
Gerner,,7722–7722,Dalfsen,Overijssel
Gersloot / Gersleat,2185,8457–8457,Heerenveen,Fryslân
Gerven,,3882–3882,Putten,Gelderland
Gerverscop,,3481–3481,Woerden,Utrecht
Gerwen,,5674–5674,"Nuenen, Gerwen en Nederwetten",Noord-Brabant
Geulhem,,6325–6325,Valkenburg aan de Geul,Limburg
Geulle,1462,6243–6243,Meerssen,Limburg
Gever,,5076–5076,Haaren,Noord-Brabant
Geverik,,6191–6191,Beek,Limburg
Gewande,,5236–5236,s-Hertogenbosch,Noord-Brabant
Gieltjesdorp,,3628–3628,Stichtse Vecht,Utrecht
Giersbergen,,5151–5151,Heusden,Noord-Brabant
Giesbeek,1300,6987–6987,Zevenaar,Gelderland
Giessen,3302,4283–4283,Altena,Noord-Brabant
Giessen-Oudekerk,,3381–3381,Molenlanden,Zuid-Holland
Giessenburg,1433,3381–3381,Molenlanden,Zuid-Holland
Giessendam,,3371–3371,Hardinxveld-Giessendam,Zuid-Holland
Gietelo,,7383–7383,Voorst,Gelderland
Gieten,1167,9461–9461,Aa en Hunze,Drenthe
Gieterveen,1168,9511–9511,Aa en Hunze,Drenthe
Gieterzandvoort,,9461–9461,Aa en Hunze,Drenthe
Giethmen,2551,8147–8147,Ommen,Overijssel
Giethoorn,2700,8355–8355,Steenwijkerland,Overijssel
Gijbeland,,2974–2974,Molenlanden,Zuid-Holland
Gijsselte,,7963–7963,De Wolden,Drenthe
Gijzel,,5268–5268,Haaren,Noord-Brabant
Gijzenrooi,,5661–5661,Geldrop-Mierlo,Noord-Brabant
Gilze,2067,5126–5126,Gilze en Rijen,Noord-Brabant
Ginderdoor,,4861–4861,Alphen-Chaam,Noord-Brabant
Ginderdoor,,5738–5738,Laarbeek,Noord-Brabant
De Ginkel,,6718–6718,Ede,Gelderland
Ginnum / Genum,3202,9174–9174,Noardeast-Fryslân,Fryslân
Glane,1712,7585–7585,Losser,Overijssel
Glane-Beekhoek,,7585–7585,Losser,Overijssel
Glanerbrug,,7532–7534,Enschede,Overijssel
Glimmen,1267,9756–9756,Groningen,Groningen
De Glind,1061,3794–3794,Barneveld,Gelderland
Godlinze,3236,9908–9908,Delfzijl,Groningen
Goedereede,2931,3252–3252,Goeree-Overflakkee,Zuid-Holland
Goes,1824,4461–4465,Goes,Zeeland
Goidschalxoord,,3274–3274,Hoeksche Waard,Zuid-Holland
Goilberdingen,,4106–4106,Culemborg,Gelderland
Goingarijp / Goaiïngaryp,2489,8511–8511,De Fryske Marren,Fryslân
Goirle,2880,5051–5053,Goirle,Noord-Brabant
Goldhoorn,,9684–9684,Oldambt,Groningen
Gooium,,8751–8751,Súdwest-Fryslân,Fryslân
Goor,,5731–5731,Geldrop-Mierlo,Noord-Brabant
Goor,1442,7471–7472,Hof van Twente,Overijssel
Het Goordonk,,5111–5111,Baarle-Nassau,Noord-Brabant
De Goorn,1185,1648–1648,Koggenland,Noord-Holland
Gorinchem,2299,4201–4207,Gorinchem,Zuid-Holland
Gorpeind,,5111–5111,Baarle-Nassau,Noord-Brabant
Gorredijk / De Gordyk,3346,8401–8401,Opsterland,Fryslân
Gorssel,1338,7213–7213,Lochem,Gelderland
Gortel,,8166–8172,Epe,Gelderland
Gouda,1005,2801–2809,Gouda,Zuid-Holland
Gouden Ploeg,,7691–7691,Hardenberg,Overijssel
Gouderak,2374,2831–2831,Krimpenerwaard,Zuid-Holland
Goudriaan,3627,2977–2977,Molenlanden,Zuid-Holland
Goudseweg,,2821–2821,Krimpenerwaard,Zuid-Holland
Goudswaard,2886,3267–3267,Hoeksche Waard,Zuid-Holland
Goutum,3616,9084–9084,Leeuwarden,Fryslân
t Goy,2054,3997–3997,Houten,Utrecht
Goënga / Goaiïngea,2405,8628–8628,Súdwest-Fryslân,Fryslân
Goëngahuizen / Goaijingahuzen,3281,8497–8497,Smallingerland,Fryslân
Graaf,,3411–3411,Lopik,Utrecht
Graafland,,2964–2964,Molenlanden,Zuid-Holland
Graauw,3094,4569–4569,Hulst,Zeeland
Gracht,,6281–6281,Gulpen-Wittem,Limburg
Gracht / De Gracht,,8485–8485,Weststellingwerf,Fryslân
Gracht Burggraaf,,6271–6271,Gulpen-Wittem,Limburg
Graetheide,,6121–6121,Sittard-Geleen,Limburg
Grafhorst,2896,8277–8277,Kampen,Overijssel
Graft,1903,1484–1484,Alkmaar,Noord-Holland
Grafwegen,,6562–6562,Berg en Dal,Gelderland
Gramsbergen,1549,7783–7783,Hardenberg,Overijssel
Grashoek,3440,5985–5985,Peel en Maas,Limburg
Graspeel,,5411–5411,Landerd,Noord-Brabant
Graswijk,,9405–9405,Assen,Drenthe
Graszode,,4456–4456,Borsele,Zeeland
Grathem,2943,6096–6096,Leudal,Limburg
Grauwe Kat,,8822–8822,Súdwest-Fryslân,Fryslân
Grave,3197,5361–5361,Grave,Noord-Brabant
s-Graveland,3000,1243–1243,Wijdemeren,Noord-Holland
s-Gravendeel,2380,3295–3295,Hoeksche Waard,Zuid-Holland
s-Gravenhage,1245,2491–2597,Den Haag,Zuid-Holland
s-Gravenmoerse Vaart,,5109–5109,Dongen,Noord-Brabant
s-Gravenpolder,1263,4431–4431,Borsele,Zeeland
s-Gravenweg,,2911–2911,Zuidplas,Zuid-Holland
s-Gravenzande,2662,2691–2694,Westland,Zuid-Holland
Grazen,,4861–4861,Alphen-Chaam,Noord-Brabant
Greffeling,,6626–6626,West Maas en Waal,Gelderland
Greffelkamp,,6941–6941,Montferland,Gelderland
Greonterp,2406,8658–8658,Súdwest-Fryslân,Fryslân
Greup,,3271–3273,Hoeksche Waard,Zuid-Holland
Greup,,3261–3261,Hoeksche Waard,Zuid-Holland
Grevenberg,,7861–7861,Coevorden,Drenthe
Grevenbicht,2812,6127–6127,Sittard-Geleen,Limburg
Griendtsveen,1029,5766–5766,Horst aan de Maas,Limburg
Griete,,4543–4543,Terneuzen,Zeeland
Grijpskerk,2118,9843–9843,Westerkwartier,Groningen
Grijpskerke,2778,4364–4364,Veere,Zeeland
Grijssloot,,9965–9965,Het Hogeland,Groningen
Grijzegrubben,,6361–6361,Beekdaelen,Limburg
De Grits,,8732–8732,Súdwest-Fryslân,Fryslân
De Groe,,4481–4481,Goes,Zeeland
Groede,2967,4503–4503,Sluis,Zeeland
Groenekan,2937,3737–3737,De Bilt,Utrecht
Groenendaal,,7371–7371,Apeldoorn,Gelderland
Groenendijk,,2394–2394,Alphen aan den Rijn,Zuid-Holland
Groenendijk,,4587–4587,Hulst,Zeeland
Groenendijk,,4909–4909,Oosterhout,Noord-Brabant
Groeneweg,,2761–2761,Zuidplas,Zuid-Holland
Groenewoud,,5735–5735,Laarbeek,Noord-Brabant
Groeningen,1216,5826–5826,Boxmeer,Noord-Brabant
Groenlanden,,6576–6576,Berg en Dal,Gelderland
Groenlandsekade,,3645–3645,De Ronde Venen,Utrecht
Groenlo,2224,7141–7141,Oost Gelre,Gelderland
Groenstraat,,5085–5085,Hilvarenbeek,Noord-Brabant
Groenveld,,1744–1744,Schagen,Noord-Holland
De Groep,,3959–3927,Utrechtse Heuvelrug,Utrecht
Groesbeek,2291,6561–6562,Berg en Dal,Gelderland
Groessen,2097,6923–6923,Duiven,Gelderland
Groet,3044,1873–1873,Bergen,Noord-Holland
De Groeve,2924,9473–9473,Tynaarlo,Drenthe
Groeze,,5986–5986,Peel en Maas,Limburg
Grolloo,1169,9444–9444,Aa en Hunze,Drenthe
Groningen,1070,9711–9747,Groningen,Groningen
Gronsveld,1701,6247–6247,Eijsden-Margraten,Limburg
Groot Agelo,,7636–7636,Dinkelland,Overijssel
Groot Bruggen,,5752–5752,Deurne,Noord-Brabant
Groot Deunk,,7122–7122,Aalten,Gelderland
Groot Genhout,,6191–6191,Beek,Limburg
Groot Haasdal (?),,6333–6333,Beekdaelen,Limburg
Groot Hitland,,2911–2911,Zuidplas,Zuid-Holland
Groot Loo,,5081–5081,Hilvarenbeek,Noord-Brabant
Groot Maarslag,,9961–9961,Het Hogeland,Groningen
Groot Medhuizen (Midhuizen ?) / Grut Midhuzen,,9131–9131,Noardeast-Fryslân,Fryslân
Groot Wetsinge,,9773–9773,Het Hogeland,Groningen
Groot(-)Dochteren,,7245–7245,Lochem,Gelderland
Groot-Abeele,,4388–4388,Vlissingen,Zeeland
Groot-Ammers,1806,2964–2964,Molenlanden,Zuid-Holland
Groot-Bedaf,,5111–5111,Baarle-Nassau,Noord-Brabant
Groot-Oever,,7707–7707,Hardenberg,Overijssel
Groot-Valkenisse,,4373–4373,Veere,Zeeland
Groot-Welsden,,6269–6269,Eijsden-Margraten,Limburg
Groote Bottel,,5753–5753,Deurne,Noord-Brabant
Groote Hoeven,,5712–5712,Someren,Noord-Brabant
Groote Horst,,5853–5853,Bergen,Limburg
Groote Keeten,,1759–1759,Schagen,Noord-Holland
Grootebroek,1103,1613–1613,Stede Broec,Noord-Holland
Grootegast,2175,9861–9861,Westerkwartier,Groningen
Grootschermer,1887,1843–1843,Alkmaar,Noord-Holland
Grootwijngaarden,,8405–8405,Opsterland,Fryslân
Grote Voort,,5081–5081,Hilvarenbeek,Noord-Brabant
Grote Wiske,,8723–8723,Súdwest-Fryslân,Fryslân
Grotel,,5761–5761,Gemert-Bakel,Noord-Brabant
Grouw / Grou,3602,9001–9001,Leeuwarden,Fryslân
Grubbenvorst,1030,5971–5971,Horst aan de Maas,Limburg
Gulpen,1225,6271–6271,Gulpen-Wittem,Limburg
Gun,,5866–5866,Horst aan de Maas,Limburg
Guttecoven,2813,6143–6143,Sittard-Geleen,Limburg
Gytsjerk / Giekerk,2444,9061–9061,Tytsjerksteradiel,Fryslân
Gytsjerksterhoeke / Giekerkerhoek,,9061–9061,Tytsjerksteradiel,Fryslân
Haaften,3360,4175–4175,West Betuwe,Gelderland
Den Haag,,2491–2597,Den Haag,Zuid-Holland
Haag,,5815–5815,Venray,Limburg
Haagje,,3971–3971,Utrechtse Heuvelrug,Utrecht
Haaksbergen,2347,7481–7483,Haaksbergen,Overijssel
Haakswold,,7961–7961,De Wolden,Drenthe
Haalderen,3136,6685–6685,Lingewaard,Gelderland
Haalweide,,7957–7957,De Wolden,Drenthe
Haamstede,,4328–4328,Schouwen-Duiveland,Zeeland
De Haandrik,,7779–7779,Hardenberg,Overijssel
t Haantje,2164,7847–7847,Coevorden,Drenthe
t Haantje,,7775–7775,Hardenberg,Overijssel
t Haantje,,9057–9057,Leeuwarden,Fryslân
t Haantje,,2288–2288,Rijswijk,Zuid-Holland
t Haantje,,4756–4756,Steenbergen,Noord-Brabant
Haanwijk,,5271–5271,Sint-Michielsgestel,Noord-Brabant
De Haar,,9405–9405,Assen,Drenthe
De Haar,,7261–7261,Berkelland,Gelderland
De Haar,,7755–7755,Coevorden,Drenthe
De Haar,,7707–7707,Hardenberg,Overijssel
De Haar,,7936–7936,Hoogeveen,Drenthe
De Haar,,9363–9363,Westerkwartier,Groningen
Ter Haar,,9561–9561,Westerwolde,Groningen
Haaren,1427,5076–5076,Haaren,Noord-Brabant
Haarle,1040,7448–7448,Hellendoorn,Overijssel
Haarle,1286,7668–7668,Tubbergen,Overijssel
Haarlem,2907,2001–2037,Haarlem,Noord-Holland
Haarlemmerliede,2641,2065–2065,Haarlemmermeer,Noord-Holland
Haarlo,1660,7273–7273,Berkelland,Gelderland
Haarsteeg,3500,5254–5254,Heusden,Noord-Brabant
Haart,,7121–7121,Aalten,Gelderland
Haart,,5835–5835,Boxmeer,Noord-Brabant
Haarzuilens,3298,3455–3455,Utrecht,Utrecht
Haasdal (?),,6333–6333,Beekdaelen,Limburg
Haastrecht,2387,2851–2851,Krimpenerwaard,Zuid-Holland
Haelen,2944,6081–6081,Leudal,Limburg
Haelensche Broek,,6081–6081,Leudal,Limburg
De Haere,,7345–7345,Apeldoorn,Gelderland
Haerst,,8035–8035,Zwolle,Overijssel
Hagestein,3625,4124–4124,Vijfheerenlanden,Utrecht
Haghorst,1310,5089–5089,Hilvarenbeek,Noord-Brabant
Haiink,,4708–4708,Roosendaal,Noord-Brabant
Hal,,5296–5296,Haaren,Noord-Brabant
Halder,,5271–5271,Sint-Michielsgestel,Noord-Brabant
Haler,2945,6012–6012,Leudal,Limburg
Halfeind,,4567–4567,Hulst,Zeeland
Halfmijl,,5507–5507,Eersel,Noord-Brabant
Halfweg,2643,1165–1165,Haarlemmermeer,Noord-Holland
Halfweg,,9852–9852,Noardeast-Fryslân,Fryslân
Halfweg,,2161–2191,Lisse,Zuid-Holland
Halfweg,,2161–2191,Noordwijk,Zuid-Holland
Halfweg,,7951–7951,Staphorst,Overijssel
Hall,1113,6964–6964,Brummen,Gelderland
Halle,3575,7025–7025,Bronckhorst,Gelderland
Halle-Heide,,7025–7025,Bronckhorst,Gelderland
Halle-Nijman,,7025–7025,Bronckhorst,Gelderland
Halle-Nijman,,7004–7004,Doetinchem,Gelderland
Hallerhoek,,7683–7683,Twenterand,Overijssel
Hallum,3203,9074–9074,Noardeast-Fryslân,Fryslân
Hallumerhoeke / Hallumerhoek,,9074–9074,Noardeast-Fryslân,Fryslân
Halsteren,1938,4661–4661,Bergen op Zoom,Noord-Brabant
Halte,,5753–5753,Deurne,Noord-Brabant
Halvinkhuizen,,3882–3882,Putten,Gelderland
Den Ham,,9695–9695,Westerwolde,Groningen
Den Ham,3321,7683–7683,Twenterand,Overijssel
Den Ham,2116,9833–9833,Westerkwartier,Groningen
Ham,,5446–5446,Sint Anthonis,Noord-Brabant
Ham,,5469–5469,Meierijstad,Noord-Brabant
Hamdijk,,9693–9693,Oldambt,Groningen
Hamingen,,7951–7951,Staphorst,Overijssel
Hammelsberg,,6611–6611,Heumen,Gelderland
Hamrik,,9363–9363,Westerkwartier,Groningen
Hamshorn / Hamsherne,,9281–9281,Achtkarspelen,Fryslân
Handel,2092,5423–5423,Gemert-Bakel,Noord-Brabant
Haneburen,,8408–8408,Opsterland,Fryslân
Hanenberg,,5753–5753,Deurne,Noord-Brabant
Hanendorp,,8166–8166,Epe,Gelderland
Hank,,5446–5446,Sint Anthonis,Noord-Brabant
Hank,2215,4273–4273,Altena,Noord-Brabant
Hankate,,7447–7447,Hellendoorn,Overijssel
Hansweert,3461,4417–4417,Reimerswaal,Zeeland
Hantum,3395,9147–9147,Noardeast-Fryslân,Fryslân
Hantumerhoek / Hantumerhoeke,,9144–9144,Noardeast-Fryslân,Fryslân
Hantumeruitburen / Hantumerútbuorren,3396,9146–9146,Noardeast-Fryslân,Fryslân
Hantumhuizen / Hantumhuzen,3397,9144–9144,Noardeast-Fryslân,Fryslân
Hapert,1065,5527–5527,Bladel,Noord-Brabant
Haps,1451,5443–5443,Cuijk,Noord-Brabant
Harbrinkhoek,1287,7615–7615,Tubbergen,Overijssel
Harculo,,8015–8015,Zwolle,Overijssel
t Harde,1845,8084–8084,Elburg,Gelderland
Hardenberg,3608,7771–7772,Hardenberg,Overijssel
Harderwijk,3222,3841–3849,Harderwijk,Gelderland
Hardeweer,,9891–9891,Westerkwartier,Groningen
Hardinxveld-Giessendam,3031,3371–3373,Hardinxveld-Giessendam,Zuid-Holland
Haren,1266,9751–9753,Groningen,Groningen
Haren,3253,5368–5368,Oss,Noord-Brabant
Harendermolen / Harenermolen (?),,9751–9751,Groningen,Groningen
Harfsen,1339,7217–7217,Lochem,Gelderland
Harich,1676,8571–8571,De Fryske Marren,Fryslân
Harich Westerend / Westerein Harich,,8571–8571,De Fryske Marren,Fryslân
Haring,,5443–5443,Cuijk,Noord-Brabant
Haringhuizen,2515,1769–1769,Hollands Kroon,Noord-Holland
Harkema / De Harkema,3178,9281–9281,Achtkarspelen,Fryslân
Harkezijl,,8748–8748,Súdwest-Fryslân,Fryslân
Harkstede,1349,9617–9617,Midden-Groningen,Groningen
Harkstede,,9614–9614,Groningen,Groningen
Harles,,6294–6294,Vaals,Limburg
Harlingen / Harns,2891,8861–8862,Harlingen,Fryslân
Harmelen,1072,3481–3481,Woerden,Utrecht
Harmelerwaard,,3481–3481,Woerden,Utrecht
Harmöle,,7481–7481,Haaksbergen,Overijssel
Harpel,,9541–9541,Westerwolde,Groningen
Harreveld,2228,7135–7135,Oost Gelre,Gelderland
Harselaar,,3771–3771,Barneveld,Gelderland
Harskamp,2768,6732–6732,Ede,Gelderland
Harssens,,9774–9774,Het Hogeland,Groningen
Hartwerd / Hartwert,2310,8741–8741,Súdwest-Fryslân,Fryslân
Hasjesstraat,,4542–4542,Terneuzen,Zeeland
Haskerdijken / Haskerdiken,2490,8468–8468,De Fryske Marren,Fryslân
Haskerhorne / Haskerhoarne,2491,8506–8506,De Fryske Marren,Fryslân
(De) Haspel,,9354–9354,Westerkwartier,Groningen
(De) Haspel,,9354–9354,Westerkwartier,Groningen
Haspel,,3906–3906,Utrechtse Heuvelrug,Utrecht
Hasselt,,5941–5941,Venlo,Limburg
Hasselt,2199,8061–8061,Zwartewaterland,Overijssel
Hasselterheide,,5941–5941,Venlo,Limburg
Hattelaar,,4061–4061,West Betuwe,Gelderland
Hattem,2882,8051–8052,Hattem,Gelderland
Hattemerbroek,3069,8094–8094,Oldebroek,Gelderland
Haule / De Haule,3576,8432–8432,Ooststellingwerf,Fryslân
Haulerwijk / Haulerwyk,3577,8433–8433,Ooststellingwerf,Fryslân
Hauwert,3566,1691–1692,Medemblik,Noord-Holland
Ten Have,,7983–7983,Westerveld,Drenthe
Havelt,,5463–5463,Meierijstad,Noord-Brabant
Havelte,3113,7971–7971,Westerveld,Drenthe
Havelterberg,3114,7974–7974,Westerveld,Drenthe
Havenhoofd,,3252–3252,Goeree-Overflakkee,Zuid-Holland
Hayum,,8747–8747,Súdwest-Fryslân,Fryslân
Hazelaar,,4726–4726,Roosendaal,Noord-Brabant
Hazelberg,,5473–5473,Bernheze,Noord-Brabant
Hazeldonk,,4891–4891,Zundert,Noord-Brabant
t Hazeleger,,6874–6874,Renkum,Gelderland
Hazenhurk,,5591–5591,Heeze-Leende,Noord-Brabant
Hazennest,,5012–5012,Tilburg,Noord-Brabant
Hazerswoude-Dorp,2852,2391–2391,Alphen aan den Rijn,Zuid-Holland
Hazerswoude-Rijndijk,2851,2394–2394,Alphen aan den Rijn,Zuid-Holland
Hebrecht,,9566–9566,Westerwolde,Groningen
Hedel,1625,5321–5321,Maasdriel,Gelderland
Hedel,,5688–5688,Oirschot,Noord-Brabant
Hedikhuizen,3515,5257–5257,Heusden,Noord-Brabant
Hee,2623,8882–8882,Terschelling,Fryslân
t Heechhout,,8842–8842,Waadhoeke,Fryslân
Heeg / Heech,2407,8621–8621,Súdwest-Fryslân,Fryslân
Heegherhoek,,7251–7251,Bronckhorst,Gelderland
Heek,,6301–6301,Valkenburg aan de Geul,Limburg
Heel,1917,6097–6097,Maasgouw,Limburg
Heelsum,2987,6866–6866,Renkum,Gelderland
Heelweg,1576,7055–7055,Oude IJsselstreek,Gelderland
Heelweg-Oost,,7055–7055,Oude IJsselstreek,Gelderland
Heelweg-West,,7055–7055,Oude IJsselstreek,Gelderland
Heemserveen,1551,7796–7796,Hardenberg,Overijssel
Heemskerk,2458,1961–1969,Heemskerk,Noord-Holland
Heemstede,2563,2101–2106,Heemstede,Noord-Holland
Heemstede,,3992–3992,Houten,Utrecht
De Heen,1401,4655–4655,Steenbergen,Noord-Brabant
Heensche Molen,,4655–4681,Steenbergen,Noord-Brabant
Heenvliet,1387,3218–3218,Nissewaard,Zuid-Holland
Heenweg,,2691–2691,Westland,Zuid-Holland
s-Heer Abtskerke,1264,4444–4444,Borsele,Zeeland
s-Heer Arendskerke,1822,4458–4458,Goes,Zeeland
s-Heer Hendrikskinderen,1823,4472–4472,Goes,Zeeland
Heerde,2865,8181–8181,Heerde,Gelderland
Heereburen,,9884–9884,Westerkwartier,Groningen
Heereind,,5741–5741,Laarbeek,Noord-Brabant
s-Heerenberg,2206,7041–7041,Montferland,Gelderland
s-Heerenbroek,2899,8275–8275,Kampen,Overijssel
Heerendonk,,5674–5674,"Nuenen, Gerwen en Nederwetten",Noord-Brabant
s-Heerenhoek,1265,4453–4453,Borsele,Zeeland
Heerenveen / It Hearrenfean,3522,8441–8448,Heerenveen,Fryslân
Heerewaarden,1626,6624–6624,Maasdriel,Gelderland
Heerhugowaard,1746,1701–1706,Heerhugowaard,Noord-Holland
Heerjansdam,2398,2995–2995,Zwijndrecht,Zuid-Holland
Heerle,1590,4726–4726,Roosendaal,Noord-Brabant
Heerlen,1312,6401–6422,Heerlen,Limburg
Heers,,5504–5504,Veldhoven,Noord-Brabant
Heerstaaien,,4856–4856,Alphen-Chaam,Noord-Brabant
Heerstraat,,6307–6307,Eijsden-Margraten,Limburg
De Hees,,5521–5521,Eersel,Noord-Brabant
De Hees,,5975–5975,Horst aan de Maas,Limburg
Hees,,7963–7963,De Wolden,Drenthe
Heesakker,,5076–5076,Haaren,Noord-Brabant
Heesbeen,3516,5158–5158,Heusden,Noord-Brabant
Heesboom,,5111–5111,Baarle-Nassau,Noord-Brabant
Heesch,3059,5384–5384,Bernheze,Noord-Brabant
Heeseind,,5392–5392,s-Hertogenbosch,Noord-Brabant
t Heeske,,5993–5993,Peel en Maas,Limburg
Heesselt,3361,4063–4063,West Betuwe,Gelderland
Heeswijk,,5473–5473,Bernheze,Noord-Brabant
Heeswijk,,3417–3417,Montfoort,Utrecht
Heeswijk-Dinther,3060,5473–5473,Bernheze,Noord-Brabant
Heeten,1498,8111–8111,Raalte,Overijssel
Heetveld,,8326–8326,Steenwijkerland,Overijssel
Heeze,1314,5591–5591,Heeze-Leende,Noord-Brabant
Heezerenbosch,,5591–5591,Heeze-Leende,Noord-Brabant
Hefswal,,9982–9982,Het Hogeland,Groningen
Hegebeintum / Hogebeintum,3204,9173–9173,Noardeast-Fryslân,Fryslân
Hegelsom,1031,5963–5963,Horst aan de Maas,Limburg
Hegge,,8171–8171,Epe,Gelderland
Hegge,,6365–6365,Beekdaelen,Limburg
Hei,,5995–5995,Peel en Maas,Limburg
Hei,,5991–5991,Peel en Maas,Limburg
Hei,,6039–6039,Weert,Limburg
Hei- en Boeicop,2109,4126–4126,Vijfheerenlanden,Utrecht
Hei-Oostenrijk,,5961–5961,Horst aan de Maas,Limburg
Heiakker,,6096–6096,Leudal,Limburg
De Heiberg,,4721–4721,Rucphen,Noord-Brabant
Heibloem,2946,6089–6089,Leudal,Limburg
De Heide,,5871–5871,Horst aan de Maas,Limburg
Heide,,8521–8521,De Fryske Marren,Fryslân
Heide,,6114–6114,Echt-Susteren,Limburg
Heide,,6085–6085,Leudal,Limburg
Heide,,6093–6093,Leudal,Limburg
Heide,,6088–6088,Leudal,Limburg
Heide,,6942–6942,Montferland,Gelderland
Heide,,6071–6071,Roermond,Limburg
Heide,2329,5812–5812,Venray,Limburg
Heide (?),,6611–6611,Heumen,Gelderland
Heidehuizen,,9241–9241,Opsterland,Fryslân
Heidekant,,7031–7031,Doetinchem,Gelderland
Heidenhoek,,7021–7021,Bronckhorst,Gelderland
Heiderschoor,,5731–5731,Geldrop-Mierlo,Noord-Brabant
Heidveld,,5761–5761,Gemert-Bakel,Noord-Brabant
Heieind,,5528–5528,Bladel,Noord-Brabant
Heieind,,5753–5753,Deurne,Noord-Brabant
Heieind,,5715–5715,Someren,Noord-Brabant
Heiereind,,5561–5561,Bergeijk,Noord-Brabant
Heierhoeve,,5928–5928,Venlo,Limburg
Heihoefke,,4625–4625,Bergen op Zoom,Noord-Brabant
Heihoek,,5438–5438,Grave,Noord-Brabant
Heijbeek,,4709–4709,Roosendaal,Noord-Brabant
Ter Heijde,2663,2684–2684,Westland,Zuid-Holland
Heijen,2483,6598–6598,Gennep,Limburg
Heijenrath,1228,6276–6276,Gulpen-Wittem,Limburg
Heijningen,1318,4794–4794,Moerdijk,Noord-Brabant
Heikant,,4861–4861,Alphen-Chaam,Noord-Brabant
Heikant,,5111–5111,Baarle-Nassau,Noord-Brabant
Heikant,,5113–5113,Baarle-Nassau,Noord-Brabant
Heikant,,5528–5528,Bladel,Noord-Brabant
Heikant,,5836–5836,Boxmeer,Noord-Brabant
Heikant,,5836–5836,Boxmeer,Noord-Brabant
Heikant,,5825–5825,Boxmeer,Noord-Brabant
Heikant,,6021–6021,Cranendonck,Noord-Brabant
Heikant,,5087–5087,Hilvarenbeek,Noord-Brabant
Heikant,3091,4566–4566,Hulst,Zeeland
Heikant,,5735–5735,Laarbeek,Noord-Brabant
Heikant,,6587–6587,Mook en Middelaar,Limburg
Heikant,,5066–5066,Oisterwijk,Noord-Brabant
Heikant,,4909–4909,Oosterhout,Noord-Brabant
Heikant,,5096–5096,Reusel-De Mierden,Noord-Brabant
Heikant,,5841–5841,Sint Anthonis,Noord-Brabant
Heikant,,5712–5712,Someren,Noord-Brabant
